n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
361 | Das, Sudeep | Princeton University | 2008 | male | 8 | 13 | 2014 | 18 | 68 | 2017 | 0 | 0 | 2 | 1 | 0 | 5 | 4 | 0 | 3 | 4 | 0 | 2 | 0 | 0 |  3 | 2 | 3 | 3 | 1 | 6 | 9 | 5 | 11 | 15 | 13 | 6 | 5 | 1 |
362 | Fassett, Caleb I. | Brown University | 2008 | male | 7 | 11 | 2016 | 11 | 66 | 2017 | 0 | 0 | 1 | 1 | 2 | 3 | 1 | 1 | 3 | 2 | 1 | 1 | 0 | 2 |  0 | 0 | 1 | 2 | 4 | 4 | 5 | 5 | 10 | 8 | 13 | 10 | 6 | 5 |
363 | Gutenkunst, Shannon Laura | Cornell University | 2008 | female | 2 | 0 | 2008 | 3 | 1 | 2009 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
364 | Hopkins, Philip Fajardo | Harvard University | 2008 | male | 24 | 56 | 2017 | 42 | 169 | 2017 | 0 | 1 | 5 | 7 | 5 | 6 | 10 | 11 | 3 | 8 | 11 | 4 | 1 | 6 |  0 | 1 | 5 | 14 | 10 | 12 | 14 | 16 | 8 | 10 | 16 | 17 | 15 | 47 |
365 | Ryan, Russel E., Jr. | Arizona State University | 2008 | male | 5 | 4 | 2016 | 13 | 22 | 2017 | 0 | 0 | 1 | 0 | 1 | 3 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 |  0 | 1 | 1 | 4 | 2 | 5 | 0 | 2 | 1 | 6 | 3 | 3 | 2 | 4 |
366 | Turk, Johanna Lee | The University of New Mexico | 2008 | female | 1 | 0 | 2008 | 2 | 3 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
367 | Vasileiou, Vlasios | University of Maryland, College Park | 2008 | male | 4 | 2 | 2013 | 10 | 156 | 2015 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 3 | 7 | 22 | 54 | 22 | 30 | 15 | 9 | 4 | 0 |
368 | Zhang, Hui | Boston University | 2008 | female | 36 | 33 | 2017 | 163 | 255 | 2017 | 6 | 2 | 4 | 6 | 7 | 11 | 5 | 7 | 2 | 4 | 6 | 4 | 2 | 2 |  30 | 11 | 35 | 22 | 29 | 36 | 27 | 23 | 27 | 30 | 33 | 31 | 36 | 35 |
369 | Auger, Matthew W. | University of California, Davis | 2008 | male | 5 | 5 | 2013 | 8 | 79 | 2017 | 0 | 0 | 0 | 0 | 1 | 4 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 6 | 4 | 9 | 9 | 11 | 9 | 11 | 9 | 9 |
370 | Lasky, Paul D. | Washington University in St. Louis | 2008 | male | 5 | 13 | 2016 | 7 | 98 | 2017 | 0 | 0 | 0 | 1 | 2 | 2 | 2 | 2 | 1 | 0 | 2 | 1 | 2 | 3 |  0 | 0 | 0 | 1 | 2 | 4 | 2 | 2 | 3 | 3 | 5 | 17 | 14 | 38 |
371 | Mack, Gregory Daniel | The Ohio State University | 2008 | male | 3 | 1 | 2013 | 4 | 1 | 2013 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
372 | Neish, Catherine Dorothy | The University of Arizona | 2008 | female | 4 | 15 | 2017 | 5 | 36 | 2017 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 2 | 3 | 2 | 2 | 2 | 1 | 1 |  0 | 0 | 0 | 1 | 1 | 3 | 2 | 4 | 3 | 6 | 4 | 5 | 1 | 7 |
373 | Okabe, Takahide | The University of Texas at Austin | 2008 | male | 1 | 1 | 2011 | 1 | 1 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
374 | Paschalidis, Vasileios | The University of Chicago | 2008 | male | 4 | 10 | 2017 | 4 | 29 | 2017 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 3 | 1 | 2 | 0 | 2 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 3 | 6 | 4 | 6 | 4 | 3 |
375 | Wahl, Eric M. | Boston University | 2008 | male | 1 | 0 | 2008 | 1 | 0 | 2008 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
376 | Angle, Jesse Isaac | University of Florida | 2008 | male | 4 | 3 | 2013 | 4 | 6 | 2013 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 2 | 0 | 3 | 0 | 1 | 0 | 0 | 0 |
377 | Baugh, Nicole Faith | The University of Arizona | 2008 | female | 1 | 0 | 2008 | 3 | 1 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
378 | Carpenter, William Joseph | University of Cincinnati | 2008 | male | 1 | 0 | 2008 | 4 | 2 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
379 | Das, Subinoy | New York University | 2008 | male | 6 | 7 | 2014 | 16 | 34 | 2017 | 0 | 0 | 1 | 1 | 0 | 4 | 1 | 0 | 2 | 3 | 0 | 1 | 0 | 0 |  3 | 2 | 2 | 3 | 1 | 5 | 5 | 3 | 3 | 6 | 3 | 1 | 7 | 2 |
380 | Rauch, Brian Flint | Washington University in St. Louis | 2008 | male | 2 | 5 | 2014 | 7 | 14 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 0 | 0 | 2 | 0 | 0 |  0 | 0 | 3 | 1 | 0 | 3 | 1 | 1 | 1 | 1 | 0 | 3 | 1 | 5 |
381 | Silvestri, Andrea | University of California, Irvine | 2008 | female | 5 | 1 | 2010 | 42 | 44 | 2014 | 0 | 0 | 2 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  7 | 7 | 8 | 8 | 6 | 6 | 7 | 12 | 13 | 10 | 1 | 1 | 0 | 0 |
382 | Urban, Andrea | The University of Texas at Austin | 2008 | female | 1 | 2 | 2010 | 1 | 54 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 1 | 0 | 9 | 4 | 27 |
383 | Jarvis, Alexander Charles | University of California, Los Angeles | 2008 | male | 3 | 1 | 2010 | 43 | 6 | 2015 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  19 | 7 | 8 | 1 | 2 | 6 | 3 | 1 | 1 | 0 | 0 | 0 | 1 | 0 |
384 | Fu, Hai | University of Hawai'i at Manoa | 2008 | male | 9 | 28 | 2017 | 14 | 106 | 2017 | 1 | 1 | 2 | 1 | 2 | 2 | 2 | 3 | 5 | 8 | 2 | 2 | 3 | 2 |  2 | 1 | 3 | 3 | 3 | 2 | 4 | 6 | 9 | 12 | 18 | 10 | 25 | 13 |
385 | Barry, Richard Keith, Jr. | The Johns Hopkins University | 2008 | male | 2 | 2 | 2012 | 7 | 22 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 2 | 3 | 0 | 1 | 6 | 2 | 0 | 2 | 4 | 4 |
386 | Claudepierre, Seth G. | University of Colorado at Boulder | 2008 | male | 2 | 8 | 2017 | 2 | 52 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 0 | 1 | 0 | 1 | 2 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 1 | 8 | 14 | 11 | 11 |
387 | Dejong, Anna D. | University of Michigan | 2008 | female | 1 | 0 | 2008 | 4 | 11 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 1 | 3 | 4 | 2 | 0 | 0 | 2 | 0 | 0 |
388 | Papaioannou, Anastasios Yiannaki | University of California, Berkeley | 2008 | male | 1 | 6 | 2014 | 4 | 15 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 0 | 2 | 0 | 0 |  0 | 0 | 2 | 0 | 1 | 1 | 4 | 1 | 2 | 1 | 0 | 4 | 1 | 1 |
389 | Muchovej, Stephen J. C. | Columbia University | 2008 | male | 2 | 3 | 2012 | 3 | 25 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 1 | 2 | 3 | 2 | 4 | 3 | 2 | 7 | 1 |
390 | Luke, Stephen A. | University of Notre Dame | 2008 | male | 1 | 0 | 2008 | 1 | 0 | 2008 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
391 | Reichardt, Christian L. | California Institute of Technology | 2008 | male | 1 | 6 | 2016 | 3 | 98 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 2 | 1 | 0 | 0 | 1 |  1 | 0 | 0 | 0 | 1 | 1 | 5 | 9 | 8 | 11 | 16 | 10 | 16 | 17 |
392 | Gibson, Kevin | Arizona State University | 2008 | male | 1 | 1 | 2011 | 1 | 15 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 6 | 2 | 1 | 1 | 2 |
393 | Klima, Rachel Louise Pillar | Brown University | 2008 | female | 1 | 2 | 2013 | 1 | 11 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 7 | 1 | 1 | 0 | 1 | 0 |
